tweet_idx,tweet_text,model_responses,corrected_model_responses,offense
1729049443876601905,@user @user @user @user @user Matlab sirf ladki ke character baat ithae tab bologe 0ar ladke ke upar wo bhi khud ke fd se karoge to chup rahoge.,"

(",0,0
1729049269456589236,"Pehle main bahut loyal tha tab mujhse koi ladki nahi pat rahi thi phir ek din....
 

 Phir kya abhi bhi koi nahi pat rahi
 (Kyuki abhi bhi loyal hi hu)",NOT,0,0
1729049238007615845,"Shit gharake SB aurat ko halala karate hai
 

 Kaisi jamat hai","NOT

",0,0
1729049218160144888,@user Yeh kya ho raha ha... kitna ghirna ha in logon ne or... ab ba pardha aurat be mehfooz nahi ha pakistan mein,"

",0,0
1729048935900262571,"Suna he Ek ladki roj Twitter pe Sher Aya Sher Aya bolti thi Aaj Khud hi Shikar ho gayi😪🔪IYKYK😏
 

 PG Aur Khelo Expose Expose 😂 
 #Abhisha #AbhishaFam ",NOT,0,0
1729048962278248838,"Saath mai problems solve karenghe? *SLAP* aisa faltu ghanda behouda ladki ke saath aise kutiyapa kar teh waqt nhi socha? What norms and ethics are? Khud problems khara kar ke, aur ab mai seedha kar rhi hu. You better get your brains working in super mood, nhi yaar...@user",OFF,1,1
1729048525005279368,@user @user Ladkiya to badi clout chasers milti hay bhay ko hamesha,"

Please",0,1
1729048412665053236,Shame on those jo us masoom aurat ko b nai bakhsh rahe💔💔,"

ON",0,0
1729048370755600655,@user @user Ye aurat khud nark me garam tel ki kadhai me tali jayegi 🤡,"OFF
",1,1
1729048189276459494,@user @user @user @user Jhuti** aurat,"

",0,0
1729048115565724116,@user Aik aurat jitni kosis krle bina mard ke maa nhi bn skti,NOT,0,1
1729048097530282096,"@user @user @user @user Aur khut aurat hai tu ye bhi Allah dekh raha
 

 Koi gasht nhi karti auratein
 

 Jab teri aukaat tujhe dikha di toh jhut bakne lagi",NOT,0,1
1729048089066119345,"@user Ye ladki hai, kaha???","

(",0,0
1729048043796988400,"Ab itni respectful ladki per dil na ai kaise possible
 Jo ek word nikle or chali jai 
 Ankita ne wait bola 
 Mana usi time gai 
 Yehi choti cheeze apko imp bnati h
 

 #munara",,0,0
1729048037132279937,"@user apnay ghar ki khabar ni ho gi inhein 😡😠 phalestine pur boltay jaan jati hy in ki , itni gairat hy to jayain phalestine k lyay bol k dikhayain is tarah road pur kharay ho kar 😠😡 laikin ni , akeli aurat ko pareshan kr rahay hain 😡😠","NOT

",0,0
1729047697829847504,entertainment ke liye chachi ke videos upload karo re🍿🤣🤣🤣 jab wo fanaya Sanaya jo bhi uske sath teja nach rhi thi tab chachi ko itna dar lga ki jaise wo ladki bta hi dene wali hai chachi uske sath bhi soya tha🤣abusive chachi bahar padi uske undra ki🤣🤣 #TejRan,"


",0,1
1729046865872843239,"@user Ab koi ladki aake bolega, ""Let's confuse boys""",NOT ,0,0
1729046800404025517,@user @user Rahul Gandhi ki paad sunghne wali aurat..... Uska asar nahi gaya shayad.... Itne paad mat sungha kar uski,OFF ,1,1
1729046654421225618,"@user @user Bahut pyass Ess aurat ko
 

 Kash ekk Barr mill jaye😂
 

 @user","


",0,1
1729046640143819082,"@user Ji bilkul 💯
 Mai bhi kisi ladki ka Bhai hu","

",0,0
1729046623303663661,@user @user Lanat bhen k Lory pe gushti aurat ka bcha,"NOT

",0,1
1729046614093025684,Jahil aurat ! Journalism ka j bhi nahi pata gadhi kahiki ! Pehle school ja phir Twitter par ana !,"

OFF",1,1
1729046491996786954,"@user Ab courts bhi legal kar diya hain jisse chaahe chudwao,, ladki par koi case nahi,,,,par ladke par case hoga.... Mm💥💥💥💥","

OFF",1,1
1729046288883478638,@user @user ke #maintenance ke paise pe palne wali muftkhor aurat. @user,"

Please",0,1
1729046194897461436,@user Don't play aurat card here... is ek aurat ne apke mulk ke PM ko ungliyon per nachaya hua tha... sirf PM ko he naheen balkay poora system ko...,"

",0,1
1729046040782033235,@user Afsoos isme ladkiya bhi km nahi,"OFF
",1,0
1729045996196544945,@user @user Aurat card kahy ko khel rahy youthiay ?? 😂😂,"OFF
",1,1
1729045926059331790,"@user @user @user @user @user @user @user @user @user Mata aur behne yeh konse dharm me pdh liya.
 Majhab me aurat h 😂 😂 aurat genital part, sirf sex toy, halala mutah londiya 4 4 sath pelo jb mrji ko 3 bar bolkr fek do.
 Bhai ko mje dene h abbu ko dene h halala krwao pak ho jati h 😂 😂
 Yeh dharm ki bat tum naa kro ktua sahb","NOT

",0,1
1729045625537495404,"@user Yeh ladki chintu nhi.... Chinti h (sigma female 🤡)😅🐰
 Jhandu gang Op🐼","

Note",0,1
1729045618222592192,@user Jahil tareen aurat,"

",0,1
1729045285719183516,@user Aaz kal aisi ladkiyan milti kahan hai 😎,"NOT

",0,0
1729045129699443057,@user @user calls him a 'Dehati Aurat'. It has been getting more apparent why with each passing day.,NOT,0,1
1729045118991426024,@user @user Conductor ne usko ladki cherne se roka..mtlb ladki cherne se rokne pe badtamizo hogae aur chalo badtamizi ki v toh gardan utara jaega tab toh us hisab daily koto ki aahuti dedijani chahie,"

1",0,0
1729045115216531814,@user Itna kya mixpod accha lagata hai aurat jaat ko....kuch aur phuko.,"NOT

",0,0
1729044749561249848,"Oh aunty tera koi past nhi hai kya Uske past ko lekar kitne din troll karoge or tera tweets se pata chal Raha Hai Tu ek no. Ki ghatiya aurat Hai Jo dusre aurat ko badnam krte Hai .
 #KhanZaadi𓃵 #KhanZaadi",NOT,0,1
1728675716680892892,"@user #AbhishekKumar was absolutely right. She plays with others emotions. She has a boyfriend outside and she hid it like she hid it.
 #BiggBoss17 ",OFF,1,0
1729044530287280624,@user @user bohat gandi aurat hai iska sharam sy kya taluq 😭,"

Note",0,1
1729044293015437605,"@user @user Bhaiya, irony yahan ye h ki same ladki thirst tweets krti h abhi pr n once she tweeted abt our girl jb uska tony kakkar ke sath voh funny reel aaya tha ki her gf/bf contents r really very cringe. Mtlb tm karo to rasleela, aur jbki hmari bandi aise explicit terms use v ni krti.","

OFF",1,0
1729044139780759834,@user @user Madam mai toh solo hu. Mai toh jawab dungi jab meri ladki pe baat aayegi. Humne start nahin kiya hai. Shippers se tha unka toh wahin tak rakhte. Humaari ladki pe aayenge toh uske solo fans baith kar dekhte nahin rahenge,"

OFF",1,0
1729044109166526510,@user #nidayasir #auntynidayasir Aunty Nida feels that her show is so popular and viral that people from all over the world have seen it.😂😂😂 false deceitful woman. Isko lagta hai waqar zaka is kay show mein anay kay liye betaaab hai.😂pagal aurat,"
OFF",1,1
1729044108101185538,"@user Namaz mein baithi dua mang rahi thi 
 Wo ladki na jane kya mang rahi thi 
 Lal thi aankhein chehre pe zid
 Zulekha thi koi yousuf mang rahi thi.","

OFF",1,0
1729043945127309542,@user @user @user Fattu khanzadi hai kaam karne ki darr se jhagda karti hai taki kaam na karne pade fattu khanzadi kaamchor kahi ki 😂 or khanzadi ki batameeezi dekho Pehele aurat mard ki baat kaha se aaya show mai sab equal hai,"

OFF",1,1
1729043849266487712,@user Wah it wouldn’t really matter?? Ek ladki ka character assassination karna thik hain?,"

OFF",1,0
1729043774456967664,"एक तरफ नारी के सम्मान की बात होती है वही दूसरी तरफ एक नारी दूसरी नारी को कुछ इस कदर सम्मान दे रही है।
 

 जब नारी ही नारी को सम्मान नही देगी तो अन्य कौन देगा ?
 

 @user @user @user @user @user @user @user @user ",NOT,0,0
1729043760615690602,"@user @user @user @user Being a girl being a girl trust me ab khud ladki hone ke bawajood is sabd se nafrat horhi ,har cheez me women card","

",0,0
1729043745541427333,@user Agar iss ladki ko best time se 3AC mein ticket chahiye toh mujhe contact kare,NOT,0,0
1729043602704351613,@user Ladki ho k yese ghatiya soch rakhte hoo wahh bhaii💅 😌,NOT,0,1
1729043446340702483,@user Allah pak sab mard or aurat zaat ko hidayat dy.,"NOT

",0,0
1729043345006342488,"@user Baat to sahi h
 Agar mohabbat bikaw na hoti to
 Ladki k pita se dahej ki mang na hoti","NOT

",0,0
1729043331282579528,@user Beghrat gandi ghleez aurat,"NOT 
",0,1
1729043257274016174,@user Aarti utaro Kam dimag aurat ki ... 😆,OFF,1,1
1729043044971020649,@user Ye ladka sare videos mein apne muh se ladki ke muh mein pour karta h,"

Note",0,0
1729042760072933711,@user 😭Mai toh ladki hu mujhe kya,��,0,0
