,id,tweet_id,aggression,offense,codemixed,tweet_text
2500,45460,1576418131958198272,1,0,0,"As a proud Hindu American, I do not have to support Lockheed Martins, Boeings, deep military industrial complexs gobal war program. Jackson, Mississippi do not have clean water, inflation is high and San Francisco open defecation is sad!!!"
2501,45461,1576414862346838016,1,0,0,@veerappavenkap1 Is open defecation allowed after Modis successful toilet scheme?
2502,45462,1576414598731026433,0,0,1,"200 villages of Bihar and UP to make them Open Defecation Free Zones

#BanegaSwasthIndia"
2503,45463,1576327227406307328,0,0,0,Open defecation has become a business of the day in Yendi senior high school due to luck of toilet facility for both boys and girls and we are therefore appealing to benevolent and individuals to come to their aid to curb the menace @fordnation
2504,45464,1576326644888784897,0,0,0,Open defecation has become a business of the day in Yendi senior high school due to luck of toilet facility for both boys and girls and we are therefore appealing to benevolent association/ organizations to come to the aid of the students @FordFoundation
2505,45465,1576324311425482752,0,0,0,Open defecation has become a business of the day in Yendi senior high school due to luck of toilet facility for both boys and girls and we are therefore appealing for a toilet facility to curb this menace @ClintonFdn
2506,45466,1576323889839230977,0,0,0,Open defecation has become a business of the day in Yendi senior high school due to luck of toilet facility for both boys and girls. We are calling on organizations to come to our aid @G_Communities
2507,45467,1576266960056504320,1,1,1,@HassanSaeed82 @AdiSports12 @BobbyRatStan Aur toilet ka problem 2015 me tha... India me uske baad mass me toilets bane hai... Atleast ham apni kamjoriyo ko theek kr rhe unlike paki jo world level pe majak bnwata hai... Aur 2022 ke data accoding Pakistan me open defecation jyada hai India se... Talk about levels
2508,45468,1576264722508550144,1,1,0,"@shrew_wood @Oldtown411 @BaxaHertin @KOINNews You sound like a nice tolerant person. So you’re okay with predominantly minority-owned businesses in Old Town being crippled by open drug use, violence, and open defecation? 
#wokeirony"
2509,45469,1576243416509206529,1,1,1,
2510,45470,1576241715765075968,0,0,0,
2511,45471,1576239987846094850,1,0,0,"@Av11G People will just move in and we would have iron fist linguistic assimilation policy.
But that  isn't happening, we are yet to solve open defecation problems 😔"
2512,45472,1576235529598689281,0,0,1,@KayChangImti11 Don’t tell me that you never did open defecation.😂
2513,45473,1576215910053879808,0,0,0,@ancient_loving Open defecation and spitting are same 😂
2514,45474,1576102407012225024,0,0,0,@mumbaimatterz @SanjayJog7 @fpjindia Didn't Fadnavis already declare Mumbai open defecation free some 5 years back? This is the same.
2515,45475,1576096091413819392,1,0,0,"@ianuragthakur @narendramodi @IndiaSports Thank your gods n goddesses that there’s little accountability in electoral offices here.
Visiting Banaras and disturbed to see more filth in open than before; and yes open defecation around here remains alive and well.Evidence too graphic to post here; happy to share directly."
2516,45476,1576086248544174080,0,0,0,
2517,45477,1576085654483922944,0,0,0,
2518,45478,1576085391068651520,0,0,1,"The open defecation free. Haryana among the leading states of India in Swachh Bharat Mission
#सबका_सहारा_CM_म्हारा"
2519,45479,1576080691430711296,0,0,1,
2520,45480,1576075525402959872,2,1,1,@youcallmerizz @rashidkhan_19 Kardi na bhikhari desh ke normal anpad jaisi baat .. isi liye bola tha beta education important hai.... Jaake data check kar open defecation ka... 2022 ka... I repeat 2022 ka... Tere gaand tale jamin nikal jaayegi... Pakistan me tujhe jyada % milega India se 🤡🤡🤣🤣
2521,45481,1576066029159055360,1,0,0,"SAY NO TO OPEN DEFECATION to the practise of defecating in fields, forests, bushes, bodies of water, or other open spaces. Defecating in the open is an affront to dignity and risk to children's nutrition and to community health.
#livestreaming 
#childrens 
follow us and share"
2522,45483,1575853511631196160,0,1,0,@karanrajan He is the kind of person who will support open defecation also
2523,45484,1575810978276511744,2,1,0,"@CommonManPoint @ashoswai The 33cr Gods 365 days are celebrated on roads, offices, and in open defecation areas."
2524,45485,1575545861391945728,0,0,0,"@MrLexicon2001 ....in our country. Places that have abject poverty and actually have nothing to do with what's being reported. 

If it's all about ""selling negativity"" then we would have seen the slums of NY or the open defecation on the streets of SC any time these places were talked about."
2525,45486,1575520301622128643,1,1,0,@__spd_ Lmao open defecation is an enjoyment in one country and a problem in another country
2526,45487,1575510635626078209,0,0,1,"@Serwaa_Amihere Man nuh get WC, pls... open defecation is the key nanso I don't mean do it cos I be Public Health Nurse. 😀😀"
2527,45488,1575482645353566208,0,0,1,It's 2022 and people are still practicing open defecation! Why?
2528,45489,1575377781537779712,0,0,0,"@Dongstein @Avatar_Popco @CageCommunism @GreenTextRepost First, this was part of an effort to *combat* unsanitary practices
There are many problems, but there has never been any such thing as a ""shitting street"". Open defecation is almost exclusively limited to rural districts"
2529,45490,1575207997437280257,1,0,0,"@followlasg @jidesanwoolu please, come to the rescue of people plying Lagos-Abeokuta express road. 
From Super bust to Ile-epo is in a very deplorable state. 

Apart from the fact that the roads are bad. There's open defecation couple with waste littering everywhere..."
2530,45491,1575181958870892545,1,0,1,"@love_liv_laf - Electricity to 18000 village
-Remove Laal Batti culture 
-Free Cooking gas
- Free bank account
- Ayushman Bharat
- Open defecation
- Jal jivan
- Mudra Loan Yojna
There are many more schemes which media never show us."
2531,45492,1575127879431573505,2,1,0,"@RogerNorris100 @AtlRey What karmic retribution should be assigned to the daily rampant senseless violence riots homicides property crimes mental illness homelessness open defecation urination drug use poverty malnutrition school to prison pipelines, ad infinitum, in top to bottom democrat run cities?"
2532,45493,1575084536035102721,0,0,0,
2533,45494,1575031891253612544,1,0,0,
2534,45495,1574990234470600706,0,0,0,The Water and Sanitation (WATSAN) initiative by @cini_cell aims to establish a community-managed system to secure access to safe and sufficient drinking water as well as to achieve open defecation free (ODF) status.
2535,45496,1574961624611721217,2,1,1,"@AimaKakar @ArfaSays_ Bsdx tumhari 7% population(+MiddleOrder) khule me hugti hai.... India's open defecation stands at only 1.4%.

Aur jo tatti sailab ke sath aayi hai ghr me wo saaf kr li?"
2536,45497,1574909498594058241,2,0,0,
2537,45498,1574859726898270209,1,0,1,@jidesanwoolu With excreta infested rail tracks...d level of open defecation in lagos is sincerely a disgrace...
2538,45499,1574830593883353088,1,0,0,"@sharathpurna @AditKum32985220 @ShailjaSgh @jayanthiyah @ShivAroor Compare the number of IITs, AIIMS, Hospitals, Schools, Percentage of Open DEfecation, Roads, electricity coverage, gas coverage, water coverage, Defense strength, Foreign Deposits, GDP in next 3 years and then lets talk. Go read n then come back"
2539,45500,1574795243496554497,0,0,0,"@nannews_ng reports that @RUWASSA_SS has called for collaboration to build 2, 000 toilets in public places to enable the FCT to achieve open defecation-free status in the six area councils by 2025."
2540,45501,1574785726423732228,0,0,0,Federal government in collaboration with @CleanNigeria25 is set to use FCT as open defecation-free model for other states to learn from. @FMWR_Nigeria
2541,45502,1574783202429849601,0,0,1,@DrSidSmilevendr @brawling_virago Aaj kal nahi. Open defecation free Bharat.
2542,45503,1574767597228376073,0,0,0,@taadelodun We recently completed a campaign against open defecation in a community in Moro local government area of kwara state. We were able to build them a toilet facility and you can’t imagine how grateful these people were. Sometimes people want to adopt best practices but poverty…
2543,45504,1574760527942881280,0,0,0,"@taadelodun Even in the so called developed places like Lagos, Open defecation is still a thing especially Ikeja under bridge, Yaba , etc"
2544,45505,1574755676089360385,0,0,0,"We discussed the health implications of #OpenDefecation, how water poverty and poor waste management culture aid open defecation among other key talking points.
@Connected_dev @HamzyCODE 
@SusoProgram"
2545,45508,1574737567999631360,0,0,0,"@Harvard Were the World Bank managers to be sent by Wolfensohn for training to Harvard redirected to Howard University, just a few blocks away? What about the managers volunteering for Wolfensohn's open defecation scheme?"
2546,45509,1574633963674828801,1,1,0,"@VuvayiJiyana77 @AfricaFactsZone Open defecation, jumping borders, selling drugs, human trafficking, creating Boko Haram, making wack movies, etc."
2547,45510,1574633257504841728,1,0,0,@tgtkhunwane @AfricaFactsZone This open defecation competition is a serious sport.
2548,45511,1574601011024474113,1,0,0,"@Junaid43309649 @nabaroon @Sidsalive @HabibKhanT Actually studies have shown that India is open defecation free now but it is Pakistan which actually lacks toilets, a lot. You can't use that BS anymore😆👎🏻"
2549,45512,1574585022803230723,0,0,0,"@GreenTextRepost Buying toilets and shitting in designated streets is racist?

I'm honestly asking, lots of 3rd world countries have open defecation, a simple YT search shows india has similar issues how can stating it be racist?

Or was it cause the ""buying toilets for his people"" line?"
2550,45513,1574462658530742274,2,0,0,@MobilePunch I hope the same Government has provided an alternative place for proper disposal of refuse cos the Kogi that I know needs proper hygiene overhaul starting with educating the people on the scourge called open defecation.
2551,45514,1574461289988239361,0,0,1,"@atree_org @ATree @Vish_speaks @Collectortnv @SanFirstIndia @nellaineervalam Also locals must be educated about open defecation bathing using soaps and shampoos, throwing plastic wastes etc. Chinna sankarankovil, mukkudal, melapalayam, kurukkuthurai, kokkirakulam,Vannarpettai, Murapanad are the areas where high levels of pollutants made.only about 7 areas"
2552,45515,1574448909119737856,1,1,0,"@RMantri @d_jaishankar Andy Ji likes to poop on Business Newspapers in spite of having a toilet at home... 

We need to have a scheme to end this kind of open defecation as well"
2553,45516,1574435122933551104,2,1,1,@NOBADSHAHAT @Akansha87365833 @SeharShinwari @KokOAlak9 Aap bhi saath baithe they lagta hai....btw Pakistan is one of the few countries where polio is still prevalent....do you know how polio virus spreads ...through contaminated food n water...which is due to open defecation....
2554,45517,1574420503686565889,2,1,1,"@PtiOfficialkpk1 @vasucooldude1 @Tm_tweets143 @darshansai81 @DennisCricket_ Pakistaniyo ko reply karte karte thak gaya hu... Lekin har jagah firse aa jate hai mujhse marwane...
Kis year ka data dekh raha hai open defecation ka ?
Ye 2022 chal raha naaki 2010... Haa vaise pakistan crisis ki wajah se jarur 2010 me chal raha.... Bhikhariyo kuch sharam karo"
2555,45518,1574417026243772417,0,0,1,"@gladyswanga That bridge you are showcasing, below it is full of human excrement. FULL and smelling. Open defecation along the lake is a problem in homabay, mbita and all towns along the lake in homabay. Start with small things like building toilets"
2556,45519,1574415096046145537,1,0,1,"@waluG There was Cholera in Blantyre, in the urban, was it a result of open defecation?"
2557,45520,1574402143548678144,2,1,0,@elitearehere Another export from communist mainland china; the open defecation.
2558,45522,1574387918382460928,1,1,1,
2559,45523,1574380231074361344,0,0,1,@BilalOm70266691 @AnveshkaD 5) with schemes like swachh Bharat abhiyan India is now open defecation free India was 100% electrified under this government schemes Lake Pradhanmantri gram aawas Yojana have given homes to millions of people.
2560,45524,1574367213087334400,2,0,0,"@vinodkapri @PrabhuChawla Cwg,2G,Coal n many many more.
Country was looted like vultures feast on corpse while Dr Manmohan singh was leader of the nation! 
Terror attacks,bomb blasts,weak defense,open defecation,weak foreign policies…all thanks to collective efforts of 65yrs of @INCIndia rule"
2561,45525,1574361364222443520,1,0,1,@SeharShinwari Pakistan is one of the few countries in world with Polio...open defecation is a major reason for that....isliye auntyji apne mulk pe dhyaan do...
2562,45526,1574356931611078659,2,1,1,
2563,45527,1574334406046908416,0,0,0,"@ExistQueen If you are educated, then study about open defecation status report in india.. i can post link if you want .."
2564,45528,1574334031931506689,0,0,0,It was a great experience engaging with the Executive Secretary of the board and am excited about the new partnership we are working on to support government effort in tackling #OpenDefecation in public schools in the state.
2565,45529,1574107326172499968,2,1,1,
2566,45531,1573860345122377734,0,0,0,"#Pakistanfloods2022  #Reminder 
7% of the households (2.3 million people) in
affected districts don’t access their water facilities
(damaged or not accessible)  &amp; Open defecation in affected districts increased by 13% (4.3 Million people)

#RNA"
2567,45532,1573717491939000324,1,1,0,"@aceon_14 @WaNkwatisa @Anele The fact remains, Nigeria is the capital of open defecation."
2568,45533,1573686405942984704,1,1,0,"@Nkemchor_ There is high level of open defecation though, mostly done by homeless aboki. 

Abuja in increasingly becoming Lagos"
2569,45534,1573630637730242560,0,0,0,"Contribution to @ehingbeti2022. Making #lagosstategreater.

Outbreak of cholera will be disastrous  to my state thus, everything must be done to curb open defecation.
Suggestions;"
2570,45535,1573585200940027906,0,0,0,"Worldwide,2.2 billion people still lack access to safe drinking water.
More than half of the global population does not have access to safe sanitation.Three billion people do not have access to handwashing facilities with soap.673 million people practice open defecation
UNICEF"
2571,45536,1573418636899127296,1,1,0,"@jimenez_je @SF311 @SFPD @sfbos @LondonBreed @sfgov The footage can’t capture it, but the stench is overwhelming in this area. I used to run here and have moved on to another route because of the open defecation. Absolutely horrible 💩"
2572,45537,1573385265473003521,1,1,0,"@HRC4Prison @KevinForBOS @Cernovich As India slowly overtakes the US for total size of economy, the US, led by California will proudly take their title of world hot spot for open defecation!"
