,id,tweet_id,aggression,offense,codemixed,tweet_text
0,1,1.58203E+18,1,0,1,@KP_Aashish @zoo_bear Demonetisation ka kamal !
1,2,1.58202E+18,2,1,1,"@srinivasiyc Bhakton ke cartoon ABBA ki list lambi hai

1.OMG 
2.TELE PROMPTER se shuru hoti hai aur

100. DEMONETISATION tak chalti hai"
2,3,1.58202E+18,2,0,1,"@AutomationEng07 @SupriyaShrinate Russian war has benefited India . As Russian oil cheaply available to India . Pandemic have  less  harassment to Pm than people of India.
This economic catastrophe is due to demonetisation,Loot by petrol cost, bad farmers laws “हम दो हमारे दो” की लूट ,"
3,4,1.58202E+18,1,0,0,"@INCBANSAL @ajitanjum @INCIndia @SupriyaShrinate NATION MUST EVALUATE THE DISADVANTAGE OF DEMONETISATION ON EVERY SECTOR,REMOTE AREAS &amp; ADVANTAGE FOR BJP AND THEIR MITRAz TO CONNVERT MONEY EASILY AT WORLD LEVEL, SIZE OF 2000 RS WS NOT APPROPRIATE, IT WS INTENTIONALLY MADE TO STOP CIRCULATION OF MONEY"
4,5,1.58202E+18,2,1,0,"@gganeshhh @am_kalki They got surgical strikes, demonetisation, UPI, GST, Aadhaar, got article 370 abolished, got Hijab banned, got triple talaq banned. How much more do they want? There should be a limit to their greed. Nation is developing. Ask not what nation did, ask what you did."
5,6,1.58202E+18,0,0,0,"Why I put @nsitharaman as the top performer bcos:
1. Managing pandemic economy.
2. Ukraine linked Fuel crisis
3. Poor GDP &amp; industrial output.
4. After effects of #demonetisation. 
5. GST implementation &amp; stabilisation. 
6. Failing world economy
@narendramodi"
6,7,1.58202E+18,1,0,0,"@awdheshkmishra @ICICIBank @ICICIBank_Care @RBI @FinMinIndia @PMOIndia Wait a few days sir, you are getting used to hearing harsh words. In future, when all the banks will be of Adani or Ambani, then you will also have to listen to abuses for withdrawing your deposits. #demonetisation"
7,8,1.58202E+18,1,0,0,"@Mahakaal_Ujjain @awdheshkmishra @ICICIBank @ICICIBank_Care @RBI @FinMinIndia @PMOIndia @HDFCBank_Cares @HDFC_Bank @HDFCBankNews @RBIsays Wait a few days sir, you are getting used to hearing harsh words. In future, when all the banks will be of Adani or Ambani, then you will also have to listen to abuses for withdrawing your deposits. #demonetisation"
8,9,1.58202E+18,2,0,0,"@krishanKTRS @pavankumar6171 @KTRTRS @KTR_News @trspartyonline @trsinnews @trsharish @balkasumantrs @KonathamDileep @jagadishTRS @BTR_KTR @TSwithKCR This is how the money made after demonetisation, pm care funds &amp; undisclosed donations used to win elections or the candidates."
9,10,1.58201E+18,2,0,0,"@ysathishreddy @KTRTRS @jagadishTRS @Amitjanhit @GargaC @pbhushan1 @irfhabib @satishacharya @hasanminhaj @rajeshgupta @Koosukuntla_TRS This is how the money made after demonetisation, pm care funds &amp; undisclosed donations used to win elections or the candidates."
10,11,1.582E+18,2,0,1,"@CAChirag Understand the reasons and internals. 
Vajpayee faced Sanctions

UPA : Lehmann brothers &amp; SC ruling against 2 G and coal.

Modi govt: Demonetisation plus other suicidal economic policies  (self created) + Covid"
11,12,1.582E+18,2,1,0,Everybody in that castle are fucked in the head 😂😂😂😂😂 #Demonetisation
12,13,1.582E+18,0,0,1,"@Indian_Index That jump in 17/18 result of demonetisation??

Would be good to see this data together of top 10 banks"
13,14,1.58199E+18,1,1,0,@im_saiganesh I would like to know benefits of demonetisation ur such an intellectual that even exam like UPSC will bow down to u
